iter,ll,accept,sd,spp,foc_sp,nei_sp
11,-1574.4812057947172,0,-0.010479844128077415,2.5241678595270764e-4,Lupinus argenteus,Lupinus argenteus
11,-1574.4812057947172,0,0.014411577068442809,-2.4014804638658625e-4,Ivesia gordonii,Lupinus argenteus
11,-1574.4812057947172,0,-0.01015847465304649,-8.221247265284762e-4,Eriogonum umbellatum,Lupinus argenteus
11,-1574.4812057947172,0,0.004119747123175149,5.927029604729272e-4,Heterotheca villosa,Lupinus argenteus
11,-1574.4812057947172,0,-0.0038107605110891964,9.118470152997272e-4,Lupinus argenteus,Ivesia gordonii
11,-1574.4812057947172,0,0.004094018396509341,-1.8524434153536817e-4,Ivesia gordonii,Ivesia gordonii
11,-1574.4812057947172,0,0.016888732862040463,-7.519738533646146e-4,Eriogonum umbellatum,Ivesia gordonii
11,-1574.4812057947172,0,0.015865884334419704,3.8534478340669425e-4,Heterotheca villosa,Ivesia gordonii
11,-1574.4812057947172,0,-0.0033090780068276635,-2.6825482136387473e-5,Lupinus argenteus,Eriogonum umbellatum
11,-1574.4812057947172,0,-0.02285235535292467,-0.0010399310440949029,Ivesia gordonii,Eriogonum umbellatum
11,-1574.4812057947172,0,0.02497661589834164,1.2791158081617887e-6,Eriogonum umbellatum,Eriogonum umbellatum
11,-1574.4812057947172,0,0.00667066166765493,-3.7818020035688764e-4,Heterotheca villosa,Eriogonum umbellatum
11,-1574.4812057947172,0,0.005413273359637003,-2.045811479162431e-4,Lupinus argenteus,Heterotheca villosa
11,-1574.4812057947172,0,-1.33995231459087e-4,-6.939434175815119e-4,Ivesia gordonii,Heterotheca villosa
11,-1574.4812057947172,0,0.005101084229529265,0.00108188514475048,Eriogonum umbellatum,Heterotheca villosa
11,-1574.4812057947172,0,-0.0016437583176966725,-1.9867922183473263e-4,Heterotheca villosa,Heterotheca villosa
12,-1574.4812057947172,0,-0.010479844128077415,2.5241678595270764e-4,Lupinus argenteus,Lupinus argenteus
12,-1574.4812057947172,0,0.014411577068442809,-2.4014804638658625e-4,Ivesia gordonii,Lupinus argenteus
12,-1574.4812057947172,0,-0.01015847465304649,-8.221247265284762e-4,Eriogonum umbellatum,Lupinus argenteus
12,-1574.4812057947172,0,0.004119747123175149,5.927029604729272e-4,Heterotheca villosa,Lupinus argenteus
12,-1574.4812057947172,0,-0.0038107605110891964,9.118470152997272e-4,Lupinus argenteus,Ivesia gordonii
12,-1574.4812057947172,0,0.004094018396509341,-1.8524434153536817e-4,Ivesia gordonii,Ivesia gordonii
12,-1574.4812057947172,0,0.016888732862040463,-7.519738533646146e-4,Eriogonum umbellatum,Ivesia gordonii
12,-1574.4812057947172,0,0.015865884334419704,3.8534478340669425e-4,Heterotheca villosa,Ivesia gordonii
12,-1574.4812057947172,0,-0.0033090780068276635,-2.6825482136387473e-5,Lupinus argenteus,Eriogonum umbellatum
12,-1574.4812057947172,0,-0.02285235535292467,-0.0010399310440949029,Ivesia gordonii,Eriogonum umbellatum
12,-1574.4812057947172,0,0.02497661589834164,1.2791158081617887e-6,Eriogonum umbellatum,Eriogonum umbellatum
12,-1574.4812057947172,0,0.00667066166765493,-3.7818020035688764e-4,Heterotheca villosa,Eriogonum umbellatum
12,-1574.4812057947172,0,0.005413273359637003,-2.045811479162431e-4,Lupinus argenteus,Heterotheca villosa
12,-1574.4812057947172,0,-1.33995231459087e-4,-6.939434175815119e-4,Ivesia gordonii,Heterotheca villosa
12,-1574.4812057947172,0,0.005101084229529265,0.00108188514475048,Eriogonum umbellatum,Heterotheca villosa
12,-1574.4812057947172,0,-0.0016437583176966725,-1.9867922183473263e-4,Heterotheca villosa,Heterotheca villosa
13,-1574.4812057947172,0,-0.010479844128077415,2.5241678595270764e-4,Lupinus argenteus,Lupinus argenteus
13,-1574.4812057947172,0,0.014411577068442809,-2.4014804638658625e-4,Ivesia gordonii,Lupinus argenteus
13,-1574.4812057947172,0,-0.01015847465304649,-8.221247265284762e-4,Eriogonum umbellatum,Lupinus argenteus
13,-1574.4812057947172,0,0.004119747123175149,5.927029604729272e-4,Heterotheca villosa,Lupinus argenteus
13,-1574.4812057947172,0,-0.0038107605110891964,9.118470152997272e-4,Lupinus argenteus,Ivesia gordonii
13,-1574.4812057947172,0,0.004094018396509341,-1.8524434153536817e-4,Ivesia gordonii,Ivesia gordonii
13,-1574.4812057947172,0,0.016888732862040463,-7.519738533646146e-4,Eriogonum umbellatum,Ivesia gordonii
13,-1574.4812057947172,0,0.015865884334419704,3.8534478340669425e-4,Heterotheca villosa,Ivesia gordonii
13,-1574.4812057947172,0,-0.0033090780068276635,-2.6825482136387473e-5,Lupinus argenteus,Eriogonum umbellatum
13,-1574.4812057947172,0,-0.02285235535292467,-0.0010399310440949029,Ivesia gordonii,Eriogonum umbellatum
13,-1574.4812057947172,0,0.02497661589834164,1.2791158081617887e-6,Eriogonum umbellatum,Eriogonum umbellatum
13,-1574.4812057947172,0,0.00667066166765493,-3.7818020035688764e-4,Heterotheca villosa,Eriogonum umbellatum
13,-1574.4812057947172,0,0.005413273359637003,-2.045811479162431e-4,Lupinus argenteus,Heterotheca villosa
13,-1574.4812057947172,0,-1.33995231459087e-4,-6.939434175815119e-4,Ivesia gordonii,Heterotheca villosa
13,-1574.4812057947172,0,0.005101084229529265,0.00108188514475048,Eriogonum umbellatum,Heterotheca villosa
13,-1574.4812057947172,0,-0.0016437583176966725,-1.9867922183473263e-4,Heterotheca villosa,Heterotheca villosa
14,-1574.4812057947172,0,-0.010479844128077415,2.5241678595270764e-4,Lupinus argenteus,Lupinus argenteus
14,-1574.4812057947172,0,0.014411577068442809,-2.4014804638658625e-4,Ivesia gordonii,Lupinus argenteus
14,-1574.4812057947172,0,-0.01015847465304649,-8.221247265284762e-4,Eriogonum umbellatum,Lupinus argenteus
14,-1574.4812057947172,0,0.004119747123175149,5.927029604729272e-4,Heterotheca villosa,Lupinus argenteus
14,-1574.4812057947172,0,-0.0038107605110891964,9.118470152997272e-4,Lupinus argenteus,Ivesia gordonii
14,-1574.4812057947172,0,0.004094018396509341,-1.8524434153536817e-4,Ivesia gordonii,Ivesia gordonii
14,-1574.4812057947172,0,0.016888732862040463,-7.519738533646146e-4,Eriogonum umbellatum,Ivesia gordonii
14,-1574.4812057947172,0,0.015865884334419704,3.8534478340669425e-4,Heterotheca villosa,Ivesia gordonii
14,-1574.4812057947172,0,-0.0033090780068276635,-2.6825482136387473e-5,Lupinus argenteus,Eriogonum umbellatum
14,-1574.4812057947172,0,-0.02285235535292467,-0.0010399310440949029,Ivesia gordonii,Eriogonum umbellatum
14,-1574.4812057947172,0,0.02497661589834164,1.2791158081617887e-6,Eriogonum umbellatum,Eriogonum umbellatum
14,-1574.4812057947172,0,0.00667066166765493,-3.7818020035688764e-4,Heterotheca villosa,Eriogonum umbellatum
14,-1574.4812057947172,0,0.005413273359637003,-2.045811479162431e-4,Lupinus argenteus,Heterotheca villosa
14,-1574.4812057947172,0,-1.33995231459087e-4,-6.939434175815119e-4,Ivesia gordonii,Heterotheca villosa
14,-1574.4812057947172,0,0.005101084229529265,0.00108188514475048,Eriogonum umbellatum,Heterotheca villosa
14,-1574.4812057947172,0,-0.0016437583176966725,-1.9867922183473263e-4,Heterotheca villosa,Heterotheca villosa
15,-1574.4812057947172,0,-0.010479844128077415,2.5241678595270764e-4,Lupinus argenteus,Lupinus argenteus
15,-1574.4812057947172,0,0.014411577068442809,-2.4014804638658625e-4,Ivesia gordonii,Lupinus argenteus
15,-1574.4812057947172,0,-0.01015847465304649,-8.221247265284762e-4,Eriogonum umbellatum,Lupinus argenteus
15,-1574.4812057947172,0,0.004119747123175149,5.927029604729272e-4,Heterotheca villosa,Lupinus argenteus
15,-1574.4812057947172,0,-0.0038107605110891964,9.118470152997272e-4,Lupinus argenteus,Ivesia gordonii
15,-1574.4812057947172,0,0.004094018396509341,-1.8524434153536817e-4,Ivesia gordonii,Ivesia gordonii
15,-1574.4812057947172,0,0.016888732862040463,-7.519738533646146e-4,Eriogonum umbellatum,Ivesia gordonii
15,-1574.4812057947172,0,0.015865884334419704,3.8534478340669425e-4,Heterotheca villosa,Ivesia gordonii
15,-1574.4812057947172,0,-0.0033090780068276635,-2.6825482136387473e-5,Lupinus argenteus,Eriogonum umbellatum
15,-1574.4812057947172,0,-0.02285235535292467,-0.0010399310440949029,Ivesia gordonii,Eriogonum umbellatum
15,-1574.4812057947172,0,0.02497661589834164,1.2791158081617887e-6,Eriogonum umbellatum,Eriogonum umbellatum
15,-1574.4812057947172,0,0.00667066166765493,-3.7818020035688764e-4,Heterotheca villosa,Eriogonum umbellatum
15,-1574.4812057947172,0,0.005413273359637003,-2.045811479162431e-4,Lupinus argenteus,Heterotheca villosa
15,-1574.4812057947172,0,-1.33995231459087e-4,-6.939434175815119e-4,Ivesia gordonii,Heterotheca villosa
15,-1574.4812057947172,0,0.005101084229529265,0.00108188514475048,Eriogonum umbellatum,Heterotheca villosa
15,-1574.4812057947172,0,-0.0016437583176966725,-1.9867922183473263e-4,Heterotheca villosa,Heterotheca villosa
16,-1574.4812057947172,0,-0.010479844128077415,2.5241678595270764e-4,Lupinus argenteus,Lupinus argenteus
16,-1574.4812057947172,0,0.014411577068442809,-2.4014804638658625e-4,Ivesia gordonii,Lupinus argenteus
16,-1574.4812057947172,0,-0.01015847465304649,-8.221247265284762e-4,Eriogonum umbellatum,Lupinus argenteus
16,-1574.4812057947172,0,0.004119747123175149,5.927029604729272e-4,Heterotheca villosa,Lupinus argenteus
16,-1574.4812057947172,0,-0.0038107605110891964,9.118470152997272e-4,Lupinus argenteus,Ivesia gordonii
16,-1574.4812057947172,0,0.004094018396509341,-1.8524434153536817e-4,Ivesia gordonii,Ivesia gordonii
16,-1574.4812057947172,0,0.016888732862040463,-7.519738533646146e-4,Eriogonum umbellatum,Ivesia gordonii
